timestamp,Weather_Temperature_Celsius,Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Active_Power
2018-04-27 10:00:00,23.136667251587,21.23,541.91027832031,84.62,143.3857421875
2018-04-27 11:00:00,25.700000762939,19.49,693.7216796875,75.75,100.96130371094
2018-04-27 12:00:00,27.640001296997,18.49,787.47711181641,87.15,105.98501586914
2018-04-27 13:00:00,29.030000686646,18.0,809.95581054688,208.77,157.65550231934
2018-04-27 14:00:00,29.116666793823,17.93,696.90417480469,104.78,215.6170501709
2018-04-27 15:00:00,29.65333366394,17.99,493.22454833984,62.1,315.77487182617
2018-04-27 16:00:00,30.083333969116,18.86,549.37786865234,25.67,306.34783935547
2018-04-28 08:00:00,17.586666107178,32.1,135.7932434082,134.74,150.33169555664
2018-04-28 09:00:00,20.336666107178,27.88,338.90487670898,180.28,206.65382385254
2018-04-28 10:00:00,24.193332672119,24.09,539.14483642578,109.82,163.56544494629
2018-04-28 11:00:00,25.733333587646,21.17,270.43426513672,126.7,215.69750976562
2018-04-28 12:00:00,27.533332824707,19.43,852.17303466797,140.41,89.615188598633
2018-04-28 13:00:00,28.809999465942,19.02,797.15802001953,139.8,157.67813110352
2018-04-28 14:00:00,29.646667480469,19.42,746.74157714844,108.8,190.03192138672
2018-04-28 15:00:00,30.386667251587,20.53,717.61236572266,81.54,214.45397949219
2018-04-28 16:00:00,30.113334655762,22.02,146.50633239746,22.02,128.22857666016
2018-04-29 08:00:00,16.743333816528,36.42,119.32057952881,94.56,130.96022033691
2018-04-29 09:00:00,18.946666717529,28.15,336.8330078125,83.53,185.8277130127
2018-04-29 10:00:00,21.986667633057,24.36,542.13848876953,238.66,94.724914550781
2018-04-29 11:00:00,23.793333053589,22.15,685.2265625,271.5,44.150062561035
2018-04-29 12:00:00,24.806665420532,21.03,811.84069824219,208.77,67.984603881836
2018-04-29 13:00:00,25.906665802002,20.73,630.08319091797,208.54,142.86836242676
2018-04-29 14:00:00,26.466667175293,21.04,758.98986816406,129.62,103.99636077881
2018-04-29 15:00:00,27.256666183472,21.67,692.32049560547,76.77,172.05680847168
2018-04-29 16:00:00,26.75,22.81,371.70642089844,20.91,238.31582641602
2018-04-30 08:00:00,14.2733335495,28.1,125.97142791748,211.06,141.18035888672
2018-04-30 09:00:00,18.686666488647,23.69,356.01309204102,203.23,325.36083984375
2018-04-30 10:00:00,21.273332595825,20.07,558.86370849609,194.54,224.14367675781
2018-04-30 11:00:00,23.243333816528,17.59,649.38940429688,230.94,206.89932250977
2018-04-30 12:00:00,24.493333816528,15.41,799.12286376953,318.16,161.27684020996
2018-04-30 13:00:00,25.813333511353,14.02,823.27154541016,162.38,179.6531829834
2018-04-30 14:00:00,26.24666595459,13.57,761.55932617188,130.62,228.91801452637
2018-04-30 15:00:00,27.016666412354,13.79,651.49389648438,65.52,281.8415222168
2018-04-30 16:00:00,27.319999694824,14.66,490.48101806641,25.86,378.66619873047
2018-05-01 08:00:00,14.796666145325,29.54,121.11512756348,101.34,135.95822143555
2018-05-01 09:00:00,18.833332061768,23.0,337.47402954102,57.31,316.90692138672
